Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
536,537,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,32,1,0,0.0010428791865706,1.7933660274138674e-05,,,0.1669661186323954,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2152222222222222,0.0026429630595372
537,538,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,31,1,0,0.0016717268154025,2.1734530264438945e-07,,,0.18728869927755673,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2813131313131313,0.0026429630595372
538,539,23,<pyews.server_abstractions.Configuration object at 0x000001EBB48EE920>,22,38,1,0,0.0023476378992199,7.513697710237466e-06,,,1.9502994519657288,2.0,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2812962962962963,0.0026429630595372
539,540,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,40,1,0,0.0026299303863197,2.200167301680267e-07,,,0.31679945196572884,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2734408602150538,0.0026429630595372
540,541,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,28,1,0,0.0062120491638779,3.416242293496907e-07,,,0.10922802339430021,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1194666666666666,0.0026429630595372
541,542,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,30,1,0,0.0112093444913625,7.448124392794853e-07,,,0.1499661186323955,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2747474747474748,0.0026429630595372
542,543,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,32,1,0,0.0056504039093852,4.727277200800018e-07,,,0.1963411186323955,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2371428571428571,0.0026429630595372
543,544,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,31,1,0,0.0032104174606502,5.829319889016915e-07,,,0.16460052723454602,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2175268817204301,0.0026429630595372
544,545,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,33,1,0,0.0010456446325406,5.102744466967124e-07,,,0.25080450247077934,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2773529411764705,0.0026429630595372
545,546,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,36,0,1,0.0028946339152753,5.826057076774305e-06,,,0.26881797048424727,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2441935483870967,0.0026429630595372
546,547,37,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,41,33,1,0,0.0128354122862219,5.149823891770211e-07,,,0.21343076509704192,0.0026429630595372,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2594791666666666,0.0026429630595372
547,548,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,30,1,0,0.0022684317082166,5.4004249250283465e-06,,,0.1636327852990621,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2559375,0.0026429630595372
548,549,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,36,1,0,0.0024732481688261,3.492343239486217e-06,,,0.259558711224988,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2681818181818181,0.0026429630595372
549,550,28,<pyews.server_abstractions.Configuration object at 0x000001EBB4921A80>,37,30,1,0,0.0009446849580854,1.5653322407160886e-06,,,0.15641056307683981,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2070114942528735,0.0026429630595372
550,551,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,34,1,0,0.0028014362324029,6.786887070120429e-07,,,0.17990729510298373,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2856862745098039,0.0026429630595372
551,552,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,30,1,0,0.0032581097912043,5.705578018933011e-07,,,0.15541056307683992,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1754761904761905,0.0026429630595372
552,553,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,32,1,0,0.0013595295604318,2.099173798342236e-06,,,0.1720702852990622,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2338888888888889,0.0026429630595372
553,554,10,<pyews.server_abstractions.Configuration object at 0x000001EBB48C8520>,8,33,1,0,0.0023389761336147,3.004557129315799e-06,,,0.25332975499603183,0.2691259569858366,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2660416666666667,0.0026429630595372
554,555,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,32,1,0,0.0091432314366102,4.619506057679246e-07,,,0.22592445196572883,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1478571428571428,0.0026429630595372
