,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
568,569,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,31,0,1,0.0007926726248115301,9.50730245676823e-05,,,0.24204301075268816,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2785858585858586,0.002642963059537262
569,570,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,26,0,1,0.0013194303028285503,0.0011772823054343462,,,0.1041025641025641,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.16666666666666669,0.002642963059537262
570,571,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,35,0,1,0.00275445356965065,0.0017596364486962557,,,0.2797142857142858,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2455208333333333,0.002642963059537262
571,572,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,34,0,1,0.0013377929572016,0.0016869320534169674,,,0.2829411764705882,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.33945945945945954,0.002642963059537262
572,573,34,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,8,32,1,0,0.004237896762788296,9.87599923973903e-05,,,0.26145833333333335,0.26912595698583663,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.22563218390804599,0.002642963059537262
573,574,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,34,0,1,0.000475329696200788,0.00016153434989973903,,,0.2583333333333333,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.18785714285714286,0.002642963059537262
574,575,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,38,0,1,0.0017880067462101579,0.0010115135228261352,,,0.32122807017543864,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.21126436781609195,0.002642963059537262
575,576,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,34,0,1,0.003762016538530588,0.002026198897510767,,,0.27784313725490195,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.27780952380952384,0.002642963059537262
576,577,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,36,0,1,0.003404684364795685,0.0012865174794569612,,,0.30314814814814817,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.30239583333333336,0.002642963059537262
577,578,23,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,40,31,0,1,0.0006764325080439448,6.804739678045735e-05,,,0.2267741935483871,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.21024691358024694,0.002642963059537262
