,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
48,49,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,33,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.3313333333333333,0.26437782470823623
49,50,22,<pyews.server_abstractions.Configuration object at 0x00000203D7AF04F0>,19,39,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB7850>,35,7,2.0,2.0
50,51,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,26,37,0.18321839080459768,0.308151228202052
51,52,40,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6B30>,6,35,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
52,53,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,34,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,39,4,2.0,2.0
53,54,33,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,16,41,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
54,55,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,35,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
55,56,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,27,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8E50>,30,9,2.0,2.0
56,57,23,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,40,34,0,1,,,,,0.3035294117647059,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB070>,4,17,2.0,2.0
57,58,6,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,18,38,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
58,59,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,30,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
59,60,1,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,32,31,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF04F0>,22,19,2.0,2.0
60,61,37,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,35,33,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
61,62,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,33,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
62,63,0,<pyews.server_abstractions.Configuration object at 0x00000203D7B22710>,38,32,0,1,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,1,32,2.0,2.0
63,64,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,31,1,0,,,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,6,18,2.0,2.0
64,65,39,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,4,38,1,0,5.492793083190918,4.453431129455566,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8E50>,16,14,2.0,2.0
65,66,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,28,0,1,123132.7109375,133729.0,,,0.18011904761904765,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.26828571428571435,0.17264681008681748
66,67,6,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,18,38,1,0,69.17635345458984,46.4219856262207,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3F70>,11,24,2.0,2.0
67,68,14,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,15,37,1,0,2.741230010986328,3.4519758224487305,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,28,21,2.0,2.0
68,69,27,<pyews.server_abstractions.Configuration object at 0x00000203D7AFFB50>,29,37,1,0,148.98236083984375,167.5657501220703,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8E50>,30,9,2.0,2.0
69,70,21,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,33,32,1,0,31.68942642211914,11.180516242980957,,,0.3026041666666666,0.26437782470823623,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,14,15,2.0,2.0
70,71,19,<pyews.server_abstractions.Configuration object at 0x00000203D7AFCD30>,25,36,1,0,5.619280815124512,7.088376998901367,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,28,21,2.0,2.0
71,72,7,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,20,31,0,1,1.0177700519561768,9.637323379516602,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AC9C90>,32,10,2.0,2.0
72,73,34,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,8,34,1,0,0.37839820981025696,1.5452163219451904,,,0.2809803921568627,0.26912595698583663,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,36,2,2.0,2.0
73,74,7,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,20,29,0,1,0.2914377748966217,0.9654880166053772,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFFB50>,27,29,2.0,2.0
74,75,7,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,20,29,0,1,0.19358810782432556,0.6654676795005798,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.24483870967741939,0.1854343365664084
75,76,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,28,0,1,0.23139365017414093,0.5205065011978149,,,0.18083333333333335,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,17,39,0.14913580246913583,0.3054506676452877
76,77,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,38,0,1,0.31048253178596497,0.15148892998695374,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,17,39,0.24895833333333334,0.3054506676452877
77,78,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,34,0,1,0.8890502452850342,0.14423751831054688,,,0.2769607843137255,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,17,39,0.2704166666666667,0.3054506676452877
78,79,23,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,40,30,1,0,0.21079635620117188,0.10384941846132278,,,0.22533333333333336,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x00000203D7AB7850>,35,7,2.0,2.0
79,80,23,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,40,34,1,0,0.12215660512447357,0.09743461012840271,,,0.29313725490196074,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.2459375,0.17264681008681748
80,81,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,33,0,1,0.08786042034626007,0.08371886610984802,,,0.2223232323232323,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.224367816091954,0.26437782470823623
81,82,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.06041291356086731,0.30346861481666565,,,0.2653763440860215,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.2845161290322581,0.17264681008681748
82,83,40,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6B30>,6,36,0,1,0.06506094336509705,0.1858062446117401,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
83,84,29,<pyews.server_abstractions.Configuration object at 0x00000203D7B20C10>,36,29,0,1,0.051201820373535156,0.010596878826618195,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.310462962962963,0.17264681008681748
84,85,1,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,32,28,0,1,0.04728817939758301,0.04852107912302017,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.3004901960784313,0.26437782470823623
85,86,14,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,15,37,0,1,0.030410468578338623,0.10093922913074493,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.29688172043010747,0.26437782470823623
86,87,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,1,0,0.1133233979344368,0.16722792387008667,,,0.2436559139784946,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7AFD930>,12,26,2.0,2.0
87,88,25,<pyews.server_abstractions.Configuration object at 0x00000203D7AFF1F0>,28,39,1,0,0.23145413398742676,0.1064281240105629,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.1574712643678161,0.26437782470823623
88,89,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,38,0,1,0.1465953141450882,0.21135109663009644,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB4730>,8,3,2.0,2.0
89,90,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,36,0,1,0.12111152708530426,0.11057393252849579,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B11930>,1,32,2.0,2.0
90,91,6,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,18,38,0,1,0.24100366234779358,0.11506929993629456,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.242258064516129,0.002642963059537262
91,92,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,36,0,1,0.09038905799388885,0.12317466735839844,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.19285714285714287,0.002642963059537262
92,93,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,30,0,1,0.07264220714569092,0.46814706921577454,,,0.2371111111111111,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.26656862745098037,0.26437782470823623
93,94,20,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8250>,13,37,0,1,0.055797673761844635,0.08491714298725128,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.29285714285714287,0.1854343365664084
94,95,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,35,0,1,0.2226940095424652,0.07860025018453598,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6050>,2,5,2.0,2.0
95,96,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,26,1,0,0.15211305022239685,0.04596293345093727,,,0.09846153846153848,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.24916666666666665,0.17264681008681748
96,97,16,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8E50>,14,29,0,1,0.025602752342820168,0.016146982088685036,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AB6B30>,40,6,2.0,2.0
97,98,16,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8E50>,14,31,1,0,0.05184756964445114,0.029065728187561035,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,18,23,2.0,2.0
98,99,16,<pyews.server_abstractions.Configuration object at 0x00000203D7AD8E50>,14,31,1,0,0.374367892742157,0.13716381788253784,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,18,23,2.0,2.0
99,100,21,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,33,35,0,1,0.1105789840221405,0.26989203691482544,,,0.3289523809523809,0.26437782470823623,<pyews.server_abstractions.Configuration object at 0x00000203D7ADA710>,33,16,2.0,2.0
100,101,5,<pyews.server_abstractions.Configuration object at 0x00000203D7AF2770>,22,37,1,0,0.06985674053430557,0.19323545694351196,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,9,27,2.0,2.0
101,102,27,<pyews.server_abstractions.Configuration object at 0x00000203D7AFFB50>,29,37,0,1,0.17643782496452332,0.1496056169271469,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.22135416666666669,0.1854343365664084
102,103,38,<pyews.server_abstractions.Configuration object at 0x00000203D7B104F0>,30,38,0,1,0.15221041440963745,0.081634022295475,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.20299999999999999,0.002642963059537262
103,104,14,<pyews.server_abstractions.Configuration object at 0x00000203D7AD9B70>,15,38,0,1,0.17307870090007782,0.01367010548710823,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2234408602150538,0.002642963059537262
104,105,38,<pyews.server_abstractions.Configuration object at 0x00000203D7B104F0>,30,36,0,1,0.0647866427898407,0.022905148565769196,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2179310344827586,0.002642963059537262
105,106,27,<pyews.server_abstractions.Configuration object at 0x00000203D7AFFB50>,29,37,0,1,0.05123760551214218,0.03470061719417572,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2915686274509804,0.002642963059537262
106,107,38,<pyews.server_abstractions.Configuration object at 0x00000203D7B104F0>,30,37,1,0,0.05801182612776756,0.18255293369293213,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.20355555555555555,0.002642963059537262
107,108,19,<pyews.server_abstractions.Configuration object at 0x00000203D7AFCD30>,25,37,1,0,0.19992782175540924,0.11426308751106262,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.2580392156862745,0.26437782470823623
108,109,18,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,23,36,0,1,0.1460786908864975,0.08440237492322922,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF0E50>,7,20,2.0,2.0
109,110,18,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,23,36,0,1,0.1012708842754364,0.04979795962572098,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.2346875,0.1854343365664084
110,111,18,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,23,36,0,1,0.07543791830539703,0.060165613889694214,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.15679012345679014,0.1854343365664084
111,112,18,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,23,37,0,1,0.03355368226766586,0.026282042264938354,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AFCD30>,19,25,2.0,2.0
112,113,0,<pyews.server_abstractions.Configuration object at 0x00000203D7B22710>,38,33,1,0,0.04330550134181976,0.012101229280233383,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,18,23,2.0,2.0
113,114,18,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,23,36,0,1,0.06329447031021118,0.09651949256658554,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,18,23,2.0,2.0
114,115,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.11226840317249298,0.11511220037937164,,,0.24516129032258063,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB070>,4,17,2.0,2.0
115,116,21,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,33,34,0,1,0.06017649173736572,0.07024204730987549,,,0.2832352941176471,0.26437782470823623,<pyews.server_abstractions.Configuration object at 0x00000203D7AFE650>,9,27,2.0,2.0
116,117,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,38,0,1,0.16680139303207397,0.143612340092659,,,0.3324561403508773,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.1674074074074074,0.002642963059537262
117,118,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,32,1,0,0.12751048803329468,0.09894462674856186,,,0.198125,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3F70>,11,24,2.0,2.0
118,119,23,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,40,34,0,1,0.1093468964099884,0.04842308908700943,,,0.27784313725490195,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x00000203D7AF3370>,18,23,2.0,2.0
119,120,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,28,1,0,0.03484455496072769,0.024162249639630318,,,0.20666666666666664,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.30561904761904757,0.002642963059537262
120,121,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,32,0,1,0.03755192831158638,0.013653631322085857,,,0.20625000000000004,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,34,8,0.22172043010752687,0.26912595698583663
121,122,36,<pyews.server_abstractions.Configuration object at 0x00000203A08B2F20>,2,37,0,1,0.09560050070285797,0.02690911665558815,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.29676470588235293,0.002642963059537262
122,123,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,31,0,1,0.09040261805057526,0.014790922403335571,,,0.26505376344086023,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.23937499999999995,0.002642963059537262
123,124,37,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,35,30,0,1,0.07714088261127472,0.02626892179250717,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.19555555555555554,0.002642963059537262
124,125,37,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,35,29,0,1,0.050711631774902344,0.02423149347305298,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.3162857142857143,0.002642963059537262
125,126,37,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,35,29,0,1,0.11764927208423615,0.13517886400222778,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B13D90>,37,35,2.0,2.0
126,127,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,35,0,1,0.052676837891340256,0.04783519357442856,,,0.3424761904761905,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.2150537634408602,0.1854343365664084
127,128,6,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB9D0>,18,40,0,1,0.05597341060638428,0.06841146945953369,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.11386666666666667,0.1854343365664084
128,129,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,29,0,1,0.07553556561470032,0.07548969984054565,7.199129470336629e-08,,0.2139080459770115,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.29768518518518516,0.1854343365664084
129,130,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,29,0,1,0.03772743046283722,0.05359543114900589,,,0.20275862068965517,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B380D0>,23,40,0.32685714285714285,0.1854343365664084
130,131,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,34,0,1,0.03373962268233299,0.042132023721933365,,,0.30578431372549014,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,26,37,0.3095238095238095,0.308151228202052
131,132,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,32,0,1,0.02689019963145256,0.20077240467071533,,,0.20302083333333334,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.32304761904761903,0.26437782470823623
132,133,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,32,0,1,0.03353678435087204,0.11841114610433578,,,0.27385416666666673,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B12410>,21,33,0.24949494949494952,0.26437782470823623
133,134,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,39,0,1,0.032078634947538376,0.038965195417404175,,,0.3633333333333334,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,26,37,0.29747474747474745,0.308151228202052
134,135,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.026679061353206635,0.005796106532216072,,,0.24709677419354842,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.24848484848484848,0.002642963059537262
135,136,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.039123278111219406,0.023052122443914413,,,0.233763440860215,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2424444444444444,0.002642963059537262
136,137,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,34,1,0,0.04044957458972931,0.018359318375587463,,,0.2633333333333333,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.22935483870967743,0.002642963059537262
137,138,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,33,0,1,0.010154511779546738,0.02068493142724037,,,0.2797979797979798,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2463440860215054,0.002642963059537262
138,139,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,32,1,0,0.02416766621172428,0.030736824497580528,,,0.27041666666666664,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2924242424242424,0.002642963059537262
139,140,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,30,1,0,0.06767003238201141,0.015123731456696987,,,0.23288888888888887,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7ADB070>,4,17,2.0,2.0
140,141,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,32,0,1,0.042527131736278534,0.015269924886524677,,,0.286875,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.15061728395061727,0.002642963059537262
141,142,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,33,0,1,0.02138367109000683,0.02040805295109749,,,0.2808080808080808,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.29114285714285715,0.002642963059537262
142,143,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,36,0,1,0.034579090774059296,0.010265083983540535,,,0.2791666666666666,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,28,21,2.0,2.0
143,144,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,31,0,1,0.011764876544475555,0.016407357528805733,,,0.2679569892473118,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.26313725490196077,0.002642963059537262
144,145,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,34,0,1,0.022606031969189644,0.05049335956573486,,,0.2786274509803922,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,26,37,0.18020833333333336,0.308151228202052
145,146,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,32,0,1,0.018120430409908295,0.05769381672143936,,,0.2610416666666666,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,34,8,0.2607291666666666,0.26912595698583663
146,147,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,32,0,1,0.019603312015533447,0.01562732458114624,,,0.23041666666666671,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7AC8370>,34,8,0.19563218390804596,0.26912595698583663
147,148,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,31,0,1,0.01229132805019617,0.06825447082519531,,,0.22344086021505377,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.30803921568627457,0.17264681008681748
148,149,39,<pyews.server_abstractions.Configuration object at 0x00000203D7AB5570>,4,36,0,1,0.007123035844415426,0.155898779630661,,,2.0,2.0,<pyews.server_abstractions.Configuration object at 0x00000203D7ACB490>,13,12,2.0,2.0
149,150,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,36,0,1,0.0130606759339571,0.10287708044052124,,,0.32499999999999996,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.29981981981981987,0.17264681008681748
150,151,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,33,0,1,0.0064482917077839375,0.10854850709438324,,,0.2735353535353536,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,31,34,0.217741935483871,0.17264681008681748
151,152,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,34,0,1,0.006364335305988789,0.027847841382026672,,,0.27127450980392154,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7AF1930>,28,21,2.0,2.0
152,153,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,27,0,1,0.006825076416134834,0.0019342920277267694,,,0.17802469135802465,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2028735632183908,0.002642963059537262
153,154,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,30,0,1,0.02537662908434868,0.00922433938831091,,,0.24555555555555558,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2271111111111111,0.002642963059537262
154,155,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,29,0,1,0.014489115215837955,0.015152912586927414,,,0.20494252873563215,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.21540229885057469,0.002642963059537262
155,156,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,33,0,1,0.005682455375790596,0.023850854486227036,,,0.2828282828282828,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2551515151515152,0.002642963059537262
156,157,26,<pyews.server_abstractions.Configuration object at 0x00000203D7B218D0>,37,33,1,0,0.006144336424767971,0.029288794845342636,,,0.2683838383838384,0.308151228202052,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.28647058823529414,0.002642963059537262
157,158,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,32,0,1,0.014279942959547043,0.010512727312743664,,,0.27562500000000006,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2104301075268817,0.002642963059537262
