,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
451,452,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.01705632358789444,0.01620088517665863,,,0.31714285714285717,0.17264681008681748
452,453,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.008301647379994392,0.015516888350248337,,,0.15,0.17264681008681748
453,454,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.021391000598669052,0.012756763026118279,,,0.2477777777777778,0.26912595698583663
454,455,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,8,1,0,0.00952724739909172,0.016823040321469307,,,0.38625000000000004,0.26912595698583663
455,456,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,8,1,0,0.017646828666329384,0.011429637670516968,,,0.31666666666666665,0.26912595698583663
456,457,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,5,1,0,0.007064065895974636,0.057569608092308044,,,0.0,0.26912595698583663
457,458,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,9,1,0,0.007175262551754713,0.052407924085855484,,,0.4074074074074074,0.26912595698583663
458,459,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,8,1,0,0.011487044394016266,0.01424375269562006,,,0.3120833333333334,0.26912595698583663
459,460,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.03594570979475975,0.012745513580739498,,,0.18,0.308151228202052
460,461,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,8,1,0,0.053225237876176834,0.0006324839778244495,,,0.4058333333333333,0.308151228202052
461,462,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.015629403293132782,0.03951902687549591,,,0.12555555555555556,0.308151228202052
462,463,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.05729720741510391,0.012869060039520264,,,0.3880952380952381,0.308151228202052
