,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
573,574,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.017609259113669395,0.017573688179254532,,,0.37333333333333335,0.308151228202052
574,575,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.007839709520339966,0.028065571561455727,,,0.17444444444444443,0.308151228202052
575,576,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,8,1,0,0.006246008910238743,0.04061761498451233,,,0.27208333333333334,0.308151228202052
576,577,32,<pyews.server_abstractions.Configuration object at 0x0000022473E38460>,41,5,0,1,0.008111286908388138,0.026875395327806473,,,0.30533333333333335,0.002642963059537262
577,578,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,4,1,0,0.004696122370660305,0.0004402025952003896,,,0.27166666666666667,0.308151228202052
578,579,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.005208967253565788,0.04543448984622955,,,0.12733333333333335,0.308151228202052
579,580,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.008166383020579815,0.016873076558113098,,,0.16266666666666668,0.3054506676452877
580,581,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,5,1,0,0.0163431316614151,0.010868782177567482,,,0.08600000000000001,0.3054506676452877
581,582,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.0032260732259601355,0.007742071989923716,,,0.26944444444444443,0.3054506676452877
582,583,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.0033913091756403446,0.00209577358327806,,,0.3361111111111111,0.3054506676452877
583,584,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,0,1,0.015589574351906776,0.010004187002778053,,,0.4576190476190476,0.17264681008681748
584,585,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,0,1,0.007302226964384317,0.004944720305502415,,,0.36749999999999994,0.17264681008681748
585,586,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,4,1,0,0.012047914788126945,0.0029534942004829645,,,0.026666666666666672,0.3054506676452877
586,587,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,7,1,0,0.0026398051995784044,0.020792467519640923,,,0.21857142857142858,0.3054506676452877
587,588,25,<pyews.server_abstractions.Configuration object at 0x000002246D8B4AC0>,4,7,1,0,0.016693927347660065,0.011338677257299423,,,2.0,2.0
588,589,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.018405217677354813,0.021676424890756607,,,0.48714285714285716,0.17264681008681748
589,590,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.021382348611950874,0.01030394434928894,,,0.23333333333333334,0.17264681008681748
590,591,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.016391046345233917,0.01516817882657051,,,0.3129166666666667,0.17264681008681748
591,592,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,9,1,0,0.007846795953810215,0.022526627406477928,,,0.3544444444444445,0.17264681008681748
592,593,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.009544573724269867,0.02203119732439518,,,0.29875,0.17264681008681748
593,594,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.004809308331459761,0.020465105772018433,,,0.30875,0.17264681008681748
594,595,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.0034011921379715204,0.027969758957624435,,,0.3055555555555555,0.26912595698583663
595,596,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.005093396175652742,0.014342167414724827,,,0.2644444444444444,0.26912595698583663
596,597,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.009141528978943825,0.0020925847347825766,,,0.18666666666666668,0.26912595698583663
597,598,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,8,1,0,0.01213811058551073,0.0016163287218660116,,,0.25333333333333335,0.26912595698583663
598,599,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.006510625593364239,0.01627100259065628,,,0.23095238095238096,0.26912595698583663
599,600,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.00961039774119854,0.023302670568227768,,,0.27111111111111114,0.308151228202052
